algorithm,k,mut_rate,metric,value
DLB (ours),21,0.1,Conservation,0.172029
DLB (ours),21,0.1,L2,14.10805957600123
DLB (ours),21,0.15,Conservation,0.058845
DLB (ours),21,0.15,L2,27.213641377074108
DLB (ours),31,0.01,Conservation,0.857897
DLB (ours),31,0.01,L2,2.254936141002667
DLB (ours),31,0.05,Conservation,0.345053
DLB (ours),31,0.05,L2,10.509016652379993
DLB (ours),31,0.1,Conservation,0.083869
DLB (ours),31,0.1,L2,26.635125736515683
DLB (ours),31,0.15,Conservation,0.019716
DLB (ours),31,0.15,L2,65.96633277665207
DLB (ours),41,0.01,Conservation,0.842851
DLB (ours),41,0.01,L2,2.7971977048467633
DLB (ours),41,0.05,Conservation,0.254276
DLB (ours),41,0.05,L2,15.764821978062422
DLB (ours),41,0.1,Conservation,0.037187
DLB (ours),41,0.1,L2,47.156602740231406
DLB (ours),41,0.15,Conservation,0.009192
DLB (ours),41,0.15,L2,155.94272311653404
DLB (ours),51,0.01,Conservation,0.821442
DLB (ours),51,0.01,L2,3.52518113009814
DLB (ours),51,0.05,Conservation,0.183718
DLB (ours),51,0.05,L2,22.127770538398124
DLB (ours),51,0.1,Conservation,0.015546
DLB (ours),51,0.1,L2,80.19584671290653
DLB (ours),51,0.15,Conservation,0.006388
DLB (ours),51,0.15,L2,346.0766302135988
DLB (ours),61,0.01,Conservation,0.794071
DLB (ours),61,0.01,L2,4.362932614652672
DLB (ours),61,0.05,Conservation,0.126304
DLB (ours),61,0.05,L2,31.118040828432626
DLB (ours),61,0.1,Conservation,0.007203
DLB (ours),61,0.1,L2,127.38271607247194
DLB (ours),61,0.15,Conservation,0.005901
DLB (ours),61,0.15,L2,529.6373889077319
