algorithm,k,density,distance,count
Optimal closed syncmer (ours),51,0.11132456622831141,2,4585
Optimal closed syncmer (ours),51,0.11132456622831141,3,4294
Optimal closed syncmer (ours),51,0.11132456622831141,4,3907
Optimal closed syncmer (ours),51,0.11132456622831141,5,3817
Optimal closed syncmer (ours),51,0.11132456622831141,6,3588
Optimal closed syncmer (ours),51,0.11132456622831141,7,3226
Optimal closed syncmer (ours),51,0.11132456622831141,8,3138
Optimal closed syncmer (ours),51,0.11132456622831141,9,3008
Optimal closed syncmer (ours),51,0.11132456622831141,10,2762
Optimal closed syncmer (ours),51,0.11132456622831141,11,74028
Optimal closed syncmer (ours),61,0.10695941756505391,1,3559
Optimal closed syncmer (ours),61,0.10695941756505391,2,3564
Optimal closed syncmer (ours),61,0.10695941756505391,3,3420
Optimal closed syncmer (ours),61,0.10695941756505391,4,3194
Optimal closed syncmer (ours),61,0.10695941756505391,5,3056
Optimal closed syncmer (ours),61,0.10695941756505391,6,2805
Optimal closed syncmer (ours),61,0.10695941756505391,7,2765
Optimal closed syncmer (ours),61,0.10695941756505391,8,2712
Optimal closed syncmer (ours),61,0.10695941756505391,9,2611
Optimal closed syncmer (ours),61,0.10695941756505391,10,2380
Optimal closed syncmer (ours),61,0.10695941756505391,11,76886
